image_id,source_dataset,orig_relpath,class_label,product_identity,case_id,source_organization,redistributable,panel_composite,label_crop,min_hamming_distance_to_existing_pool
split_e_HV_000001_x41,WHO regulatory alert,split_e_harvested/HV_000001_x41.png,counterfeit,case_ALERT_0009,https://www.who.int/news/item/02-03-2018-medical-product-alert-n-2-2018--falsified--augmentin,WHO,False,no,no,18
split_e_HV_000001_x42,WHO regulatory alert,split_e_harvested/HV_000001_x42.png,counterfeit,case_ALERT_0009,https://www.who.int/news/item/02-03-2018-medical-product-alert-n-2-2018--falsified--augmentin,WHO,False,no,no,18
split_e_HV_000001_x43,WHO regulatory alert,split_e_harvested/HV_000001_x43.png,counterfeit,case_ALERT_0009,https://www.who.int/news/item/02-03-2018-medical-product-alert-n-2-2018--falsified--augmentin,WHO,False,no,no,14
split_e_HV_000001_x44,WHO regulatory alert,split_e_harvested/HV_000001_x44.png,counterfeit,case_ALERT_0009,https://www.who.int/news/item/02-03-2018-medical-product-alert-n-2-2018--falsified--augmentin,WHO,False,no,no,18
split_e_HV_000002_x37,WHO regulatory alert,split_e_harvested/HV_000002_x37.png,counterfeit,case_ALERT_0009,https://www.who.int/news/item/02-03-2018-medical-product-alert-n-2-2018--falsified--augmentin,WHO,False,no,no,18
split_e_HV_000002_x38,WHO regulatory alert,split_e_harvested/HV_000002_x38.png,counterfeit,case_ALERT_0009,https://www.who.int/news/item/02-03-2018-medical-product-alert-n-2-2018--falsified--augmentin,WHO,False,no,no,18
split_e_HV_000002_x39,WHO regulatory alert,split_e_harvested/HV_000002_x39.png,counterfeit,case_ALERT_0009,https://www.who.int/news/item/02-03-2018-medical-product-alert-n-2-2018--falsified--augmentin,WHO,False,no,no,18
split_e_HV_000002_x40,WHO regulatory alert,split_e_harvested/HV_000002_x40.png,counterfeit,case_ALERT_0009,https://www.who.int/news/item/02-03-2018-medical-product-alert-n-2-2018--falsified--augmentin,WHO,False,no,no,16
split_e_HV_000011_x49,WHO regulatory alert,split_e_harvested/HV_000011_x49.png,counterfeit,case_ALERT_0010,https://www.who.int/news/item/02-06-2017-medical-product-alert-n-1-2017--falsified-meningococcal-acwy-vaccine,WHO,False,no,yes,16
split_e_HV_000011_x50,WHO regulatory alert,split_e_harvested/HV_000011_x50.png,counterfeit,case_ALERT_0010,https://www.who.int/news/item/02-06-2017-medical-product-alert-n-1-2017--falsified-meningococcal-acwy-vaccine,WHO,False,no,yes,18
split_e_HV_000019_x25,WHO regulatory alert,split_e_harvested/HV_000019_x25.png,counterfeit,case_ALERT_0011,https://www.who.int/news/item/02-07-2015-medical-product-alert-n-4-2015--adverse-reactions-caused-by-falsified-diazepam,WHO,False,no,no,18
