"set","group","image_id","file","attention_tag","note"
"M4 in-distribution (Split B)","incorrect","kaggle_fake_real_medicine_077563b376","incorrect__kaggle_fake_real_medicine_077563b376.png","packaging_relevant",""
"M4 in-distribution (Split B)","incorrect","kaggle_fake_real_medicine_82c705d9a3","incorrect__kaggle_fake_real_medicine_82c705d9a3.png","incidental",""
"M4 in-distribution (Split B)","incorrect","kaggle_fake_real_medicine_c8e1ccb599","incorrect__kaggle_fake_real_medicine_c8e1ccb599.png","incidental",""
"M4 in-distribution (Split B)","incorrect","kaggle_fake_real_medicine_6a0d82961a","incorrect__kaggle_fake_real_medicine_6a0d82961a.png","incidental",""
"M4 in-distribution (Split B)","incorrect","kaggle_fake_real_medicine_78e572ee28","incorrect__kaggle_fake_real_medicine_78e572ee28.png","incidental",""
"M4 in-distribution (Split B)","incorrect","kaggle_fake_real_medicine_02169db735","incorrect__kaggle_fake_real_medicine_02169db735.png","mixed",""
"M4 in-distribution (Split B)","incorrect","kaggle_fake_real_medicine_41d91fd70e","incorrect__kaggle_fake_real_medicine_41d91fd70e.png","packaging_relevant",""
"M4 in-distribution (Split B)","correct","kaggle_fake_real_medicine_5d72b67a63","correct__kaggle_fake_real_medicine_5d72b67a63.png","mixed",""
"M4 in-distribution (Split B)","correct","kaggle_fake_real_medicine_5ee8edd1a9","correct__kaggle_fake_real_medicine_5ee8edd1a9.png","incidental",""
"M4 in-distribution (Split B)","correct","kaggle_fake_real_medicine_a92fedd746","correct__kaggle_fake_real_medicine_a92fedd746.png","mixed",""
"M4 in-distribution (Split B)","correct","kaggle_fake_real_medicine_97b7ba7093","correct__kaggle_fake_real_medicine_97b7ba7093.png","incidental",""
"M4 in-distribution (Split B)","correct","kaggle_fake_real_medicine_d850d8b22d","correct__kaggle_fake_real_medicine_d850d8b22d.png","packaging_relevant",""
"M4 in-distribution (Split B)","correct","kaggle_fake_real_medicine_fd039f994c","correct__kaggle_fake_real_medicine_fd039f994c.png","packaging_relevant",""
"M4 in-distribution (Split B)","correct","kaggle_fake_real_medicine_61643b3aef","correct__kaggle_fake_real_medicine_61643b3aef.png","packaging_relevant",""
"M4 in-distribution (Split B)","correct","kaggle_fake_real_medicine_723bdb51d5","correct__kaggle_fake_real_medicine_723bdb51d5.png","mixed",""
"M4 in-distribution (Split B)","correct","kaggle_fake_real_medicine_0876d989f5","correct__kaggle_fake_real_medicine_0876d989f5.png","packaging_relevant",""
"M4 in-distribution (Split B)","correct","kaggle_fake_real_medicine_2132e7ceb4","correct__kaggle_fake_real_medicine_2132e7ceb4.png","packaging_relevant",""
"M4 in-distribution (Split B)","correct","kaggle_fake_real_medicine_1f8b2ac73f","correct__kaggle_fake_real_medicine_1f8b2ac73f.png","packaging_relevant",""
"M4 in-distribution (Split B)","correct","kaggle_fake_real_medicine_5469052ee7","correct__kaggle_fake_real_medicine_5469052ee7.png","mixed",""
"M4 in-distribution (Split B)","correct","kaggle_fake_real_medicine_b1b14a8a60","correct__kaggle_fake_real_medicine_b1b14a8a60.png","packaging_relevant",""
"M4 in-distribution (Split B)","correct","kaggle_fake_real_medicine_8b91640ed8","correct__kaggle_fake_real_medicine_8b91640ed8.png","mixed",""
"M4 in-distribution (Split B)","correct","kaggle_fake_real_medicine_e390352f04","correct__kaggle_fake_real_medicine_e390352f04.png","incidental",""
"M4 external (Split C)","wrong_called_counterfeit","mendeley_split_c_00097","wrong_called_counterfeit__mendeley_split_c_00097.png","packaging_relevant",""
"M4 external (Split C)","wrong_called_counterfeit","mendeley_split_c_00033","wrong_called_counterfeit__mendeley_split_c_00033.png","packaging_relevant",""
"M4 external (Split C)","wrong_called_counterfeit","mendeley_split_c_00002","wrong_called_counterfeit__mendeley_split_c_00002.png","packaging_relevant",""
"M4 external (Split C)","wrong_called_counterfeit","mendeley_split_c_00110","wrong_called_counterfeit__mendeley_split_c_00110.png","packaging_relevant",""
"M4 external (Split C)","wrong_called_counterfeit","mendeley_split_c_00045","wrong_called_counterfeit__mendeley_split_c_00045.png","packaging_relevant",""
"M4 external (Split C)","wrong_called_counterfeit","mendeley_split_c_00040","wrong_called_counterfeit__mendeley_split_c_00040.png","packaging_relevant",""
"M4 external (Split C)","wrong_called_counterfeit","mendeley_split_c_00130","wrong_called_counterfeit__mendeley_split_c_00130.png","packaging_relevant",""
"M4 external (Split C)","wrong_called_counterfeit","mendeley_split_c_00035","wrong_called_counterfeit__mendeley_split_c_00035.png","packaging_relevant",""
"M4 external (Split C)","wrong_called_counterfeit","mendeley_split_c_00138","wrong_called_counterfeit__mendeley_split_c_00138.png","packaging_relevant",""
"M4 external (Split C)","wrong_called_counterfeit","mendeley_split_c_00078","wrong_called_counterfeit__mendeley_split_c_00078.png","packaging_relevant",""
"M4 external (Split C)","correct_called_authentic","mendeley_split_c_00013","correct_called_authentic__mendeley_split_c_00013.png","incidental",""
"M4 external (Split C)","correct_called_authentic","mendeley_split_c_00095","correct_called_authentic__mendeley_split_c_00095.png","incidental",""
"M4 external (Split C)","correct_called_authentic","mendeley_split_c_00068","correct_called_authentic__mendeley_split_c_00068.png","incidental",""
"M4 external (Split C)","correct_called_authentic","mendeley_split_c_00005","correct_called_authentic__mendeley_split_c_00005.png","incidental",""
"M4 external (Split C)","correct_called_authentic","mendeley_split_c_00004","correct_called_authentic__mendeley_split_c_00004.png","incidental",""
